timestamp,utc_timestamp,node_id,camera_id,event_type,track_id,category,class_name,confidence,plate_text,ocr_confidence,status,details
08:29:04,2026-09-23T02:59:05Z,BOP-SECTOR-A,CAM-A-PERIMETER,INTRUSION_ALERT,28,human,person,0.708,-,0.0,UNKNOWN_INTRUDER,"UNKNOWN PERSON | OUTBOUND (Northbound) at (1782, 589) | ID:NONE"
08:29:06,2026-09-23T02:59:10Z,BOP-SECTOR-A,CAM-A-PERIMETER,INTRUSION_ALERT,57,human,person,0.704,-,0.0,UNKNOWN_INTRUDER,"UNKNOWN PERSON | OUTBOUND (Northbound) at (558, 593) | ID:NONE"
08:29:06,2026-09-23T02:59:10Z,BOP-SECTOR-A,CAM-A-PERIMETER,INTRUSION_ALERT,68,human,person,0.799,-,0.0,UNKNOWN_INTRUDER,"UNKNOWN PERSON | INBOUND (Southbound) at (1231, 630) | ID:NONE"
08:29:07,2026-09-23T02:59:10Z,BOP-SECTOR-A,CAM-A-PERIMETER,INTRUSION_ALERT,44,human,person,0.84,-,0.0,UNKNOWN_INTRUDER,"UNKNOWN PERSON | OUTBOUND (Northbound) at (961, 600) | ID:NONE"
08:29:07,2026-09-23T02:59:10Z,BOP-SECTOR-A,CAM-A-PERIMETER,INTRUSION_ALERT,4,human,person,0.723,-,0.0,UNKNOWN_INTRUDER,"UNKNOWN PERSON | INBOUND (Southbound) at (1533, 611) | ID:NONE"
08:29:08,2026-09-23T02:59:10Z,BOP-SECTOR-A,CAM-A-PERIMETER,INTRUSION_ALERT,59,human,person,0.807,-,0.0,UNKNOWN_INTRUDER,"UNKNOWN PERSON | INBOUND (Southbound) at (1095, 604) | ID:NONE"
08:29:09,2026-09-23T02:59:10Z,BOP-SECTOR-A,CAM-A-PERIMETER,INTRUSION_ALERT,124,human,person,0.706,-,0.0,UNKNOWN_INTRUDER,"UNKNOWN PERSON | OUTBOUND (Northbound) at (988, 586) | ID:NONE"
08:29:10,2026-09-23T02:59:10Z,BOP-SECTOR-A,CAM-A-PERIMETER,INTRUSION_ALERT,8,human,person,0.811,-,0.0,UNKNOWN_INTRUDER,"UNKNOWN PERSON | INBOUND (Southbound) at (774, 634) | ID:NONE"
08:29:10,2026-09-23T02:59:10Z,BOP-SECTOR-A,CAM-A-PERIMETER,INTRUSION_ALERT,91,human,person,0.727,-,0.0,UNKNOWN_INTRUDER,"UNKNOWN PERSON | OUTBOUND (Northbound) at (1832, 596) | ID:NONE"
08:29:10,2026-09-23T02:59:11Z,BOP-SECTOR-A,CAM-A-PERIMETER,LOITERING,71,human,person,0.65,-,0.0,WARNING,Stationary 8s within 0.17x height (movement 0.12 heights/s)
